stn;date;time;tre200b0;tre200bn;tre200bx;ure200b0;rre150b0;sre000b0;gre000b0;dkl010b0;fu3010b0;fu3010b1;prestab0
WAE;01/01/2016;00:00;4.9;4.8;5.0;95.8;0.0;0;0;141;2.5;6.8;967.9
WAE;01/01/2016;01:00;5.0;4.9;5.3;96.0;0.5;0;0;256;2.2;6.1;967.9
WAE;01/01/2016;02:00;5.1;5.0;5.2;96.5;1.0;0;0;297;2.9;5.8;968.2
WAE;01/01/2016;03:00;5.5;5.3;5.7;94.9;1.1;0;0;233;3.2;7.2;968.8
WAE;01/01/2016;04:00;5.2;5.0;5.3;97.4;0.1;0;0;135;1.4;3.2;969.3
WAE;01/01/2016;05:00;5.3;5.0;5.5;96.8;0.0;0;0;114;4.7;11.2;969.4
WAE;01/01/2016;06:00;5.1;5.0;5.2;97.3;0.0;0;0;144;3.6;9.7;969.4
WAE;01/01/2016;07:00;5.0;4.7;5.1;96.7;0.0;0;0;150;2.9;8.3;969.2
WAE;01/01/2016;08:00;4.9;4.8;5.0;97.5;0.0;0;7;45;1.1;3.2;969.0
WAE;01/01/2016;09:00;4.8;4.7;4.9;99.0;0.0;0;30;315;1.8;5.8;968.8
WAE;01/01/2016;10:00;4.8;4.7;5.0;97.8;0.0;0;38;45;3.6;7.2;968.4
WAE;01/01/2016;11:00;4.9;4.7;5.3;94.4;0.0;0;96;360;1.1;4.0;968.0
WAE;01/01/2016;12:00;5.1;4.8;5.4;94.3;0.0;0;91;45;2.5;6.8;967.1
WAE;01/01/2016;13:00;5.5;5.4;5.8;89.2;0.0;17;161;153;2.9;9.7;966.1
WAE;01/01/2016;14:00;5.8;5.7;6.0;89.0;0.0;15;153;321;2.9;7.2;965.3
WAE;01/01/2016;15:00;5.8;5.8;5.9;88.9;0.0;0;36;294;7.6;15.1;965.0
WAE;01/01/2016;16:00;5.5;5.2;5.8;88.7;0.0;0;3;292;7.9;14.8;964.7
WAE;01/01/2016;17:00;5.0;4.9;5.1;90.2;0.0;0;0;291;6.1;13.7;964.2
WAE;01/01/2016;18:00;4.8;4.7;4.9;90.5;0.0;0;0;304;2.9;6.5;963.4
WAE;01/01/2016;19:00;4.8;4.7;4.9;90.6;0.0;0;0;283;3.2;6.1;962.7
WAE;01/01/2016;20:00;4.8;4.8;4.8;89.5;0.0;0;0;281;3.6;7.6;962.2
WAE;01/01/2016;21:00;4.8;4.7;4.9;89.2;0.0;0;0;270;2.9;6.5;961.8
WAE;01/01/2016;22:00;4.8;4.8;4.9;88.9;0.0;0;0;270;6.1;13.0;961.7
WAE;01/01/2016;23:00;4.5;4.3;4.7;92.0;0.0;0;0;259;9.4;15.1;961.6
WAE;02/01/2016;00:00;4.4;4.3;4.5;92.0;0.0;0;0;225;4.7;12.2;961.1
WAE;02/01/2016;01:00;4.4;4.3;4.6;91.9;0.0;0;0;101;3.2;6.8;960.1
WAE;02/01/2016;02:00;4.3;3.9;4.6;92.6;0.0;0;0;107;4.0;8.3;959.5
WAE;02/01/2016;03:00;3.3;3.0;3.8;90.8;0.0;0;0;162;4.7;7.9;958.8
WAE;02/01/2016;04:00;3.5;2.9;3.9;88.4;0.0;0;0;251;8.6;14.8;958.8
WAE;02/01/2016;05:00;4.1;3.9;4.2;88.1;0.0;0;0;232;4.3;8.6;958.6
WAE;02/01/2016;06:00;4.1;3.8;4.3;89.6;0.0;0;0;135;2.5;8.3;958.3
WAE;02/01/2016;07:00;3.9;3.7;4.0;92.3;0.0;0;0;106;6.8;15.1;957.6
