"";"date";"pumpDuration";"timeStamp";"temperature";"obsolete1";"obsolete2";"wind";"windDirection";"rain";"pressure";"humidity"
"1";2014-05-27;960;"2014-05-27 17:09:30";25;102;19;2;233;2;NA;NA
"2";2014-05-27;960;"2014-05-27 20:11:13";0;0;0;0;0;0;0;0
"3";2014-05-27;960;"2014-05-27 20:22:25";0;0;0;0;0;0;0;0
"4";2014-05-27;960;"2014-05-27 17:22:34";15;102;20;4;260;0;1014;72
"5";2014-05-27;960;"2014-05-27 19:32:33";0;0;0;0;0;0;0;0
"6";2014-05-27;960;"2014-05-27 22:03:56";13;0;19;1;248;0;1015;85
"7";2014-05-27;960;"2014-05-27 23:07:27";12;1;19;2;270;0;1016;76
"8";2014-05-27;960;"2014-05-27 20:26:37";13;67;19;1;198;0;1014;85
"9";2014-05-27;960;"2014-05-27 20:30:42";13;52;19;1;198;0;1014;85
"10";2014-05-28;480;"2014-05-28 04:25:17";11;18;19;1;107;0;1016;95
"11";2014-05-28;480;"2014-05-28 08:39:56";12;102;20;1;196;0;1016;93
"12";2014-05-28;480;"2014-05-28 10:47:20";14;102;20;1;42;1;1016;68
"13";2014-05-28;480;"2014-05-28 06:33:02";10;102;19;2;350;0;1014;87
"14";2014-05-28;480;"2014-05-28 07:36:29";11;102;19;2;248;0;1013;95
"15";2014-05-28;480;"2014-05-28 16:05:04";18;102;20;4;290;0;1013;55
"16";2014-05-28;480;"2014-05-28 23:07:55";14;0;19;1;0;0;1014;71
"17";2014-05-28;480;"2014-05-28 11:50:49";15;102;20;1;333;0;1013;69
"18";2014-05-28;480;"2014-05-28 13:57:49";16;102;20;1;265;0;1013;78
"19";2014-05-28;480;"2014-05-28 02:18:22";12;15;19;1;130;0;1015;87
"20";2014-05-28;480;"2014-05-28 03:21:48";12;16;19;3;253;0;1014;87
"21";2014-05-28;480;"2014-05-28 00:11:23";12;13;19;1;0;0;1016;81
"22";2014-05-28;480;"2014-05-28 01:14:54";12;9;19;1;0;0;1016;81
"23";2014-06-01;960;"2014-06-01 11:46:53";17;102;21;1;10;0;1016;57
"24";2014-06-01;960;"2014-06-01 02:07:32";9;0;19;2;25;0;1020;81
"25";2014-06-01;960;"2014-06-01 03:12:10";8;0;19;1;130;0;1020;87
"26";2014-06-01;960;"2014-06-01 12:51:36";19;95;21;2;263;0;1020;41
"27";2014-06-01;960;"2014-06-01 16:05:27";21;102;20;4;300;0;1018;40
"28";2014-06-05;480;"2014-06-05 13:50:02";19;0;0;3;0;0;1016;55
"29";2014-06-05;480;"2014-06-05 14:00:03";19;0;0;3;0;0;1016;55
"30";2014-06-05;480;"2014-06-05 03:10:02";11;0;0;1;72;0;1017;86
"31";2014-06-05;480;"2014-06-05 03:20:02";11;0;0;1;72;0;1017;86
"32";2014-06-05;480;"2014-06-05 14:20:02";19;0;0;3;0;0;1016;55
"33";2014-06-05;480;"2014-06-05 14:40:02";19;0;0;3;0;0;1016;55
"34";2014-06-05;480;"2014-06-05 13:40:17";19;0;0;3;0;0;1016;55
"35";2014-06-05;480;"2014-06-05 08:20:03";11;0;0;1;59;0;1018;91
"36";2014-06-05;480;"2014-06-05 03:30:03";11;0;0;1;72;0;1017;86
"37";2014-06-05;480;"2014-06-05 03:40:01";11;0;0;1;0;0;1015;87
"38";2014-06-05;480;"2014-06-05 08:50:02";12;0;0;2;257;0;1016;98
"39";2014-06-05;480;"2014-06-05 09:00:10";13;0;0;1;86;0;1018;74
"40";2014-06-05;480;"2014-06-05 08:30:02";11;0;0;1;59;0;1018;91
"41";2014-06-05;480;"2014-06-05 08:40:02";11;0;0;1;59;0;1018;91
"42";2014-06-05;480;"2014-06-05 09:30:02";12;0;0;2;257;0;1016;98
"43";2014-06-05;480;"2014-06-05 09:40:02";13;0;0;1;86;0;1018;74
"44";2014-06-05;480;"2014-06-05 09:50:02";12;0;0;2;257;0;1016;98
"45";2014-06-05;480;"2014-06-05 10:00:06";14;0;0;2;286;0;1012;71
"46";2014-06-05;480;"2014-06-05 10:10:06";14;0;0;1;29;0;1018;58
"47";2014-06-05;480;"2014-06-05 10:20:03";14;0;0;2;286;0;1012;71
"48";2014-06-05;480;"2014-06-05 03:50:03";11;0;0;1;250;0;1015;94
"49";2014-06-05;480;"2014-06-05 04:00:10";11;0;0;2;205;0;1015;82
"50";2014-06-05;480;"2014-06-05 04:10:02";11;0;0;1;0;0;1015;87
"51";2014-06-05;480;"2014-06-05 04:20:02";11;0;0;1;0;0;1015;87
"52";2014-06-05;480;"2014-06-05 04:30:02";11;0;0;1;0;0;1015;87
"53";2014-06-05;480;"2014-06-05 09:10:02";12;0;0;2;257;0;1016;98
"54";2014-06-05;480;"2014-06-05 09:20:03";13;0;0;1;86;0;1018;74
"55";2014-06-05;480;"2014-06-05 05:00:03";11;0;0;2;205;0;1015;82
"56";2014-06-05;480;"2014-06-05 05:10:02";11;0;0;2;180;0;1016;87
"57";2014-06-05;480;"2014-06-05 05:20:02";11;0;0;2;180;0;1016;87
"58";2014-06-05;480;"2014-06-05 05:30:02";11;0;0;2;180;0;1016;87
"59";2014-06-05;480;"2014-06-05 05:40:01";11;0;0;2;180;0;1016;87
"60";2014-06-05;480;"2014-06-05 05:50:10";11;0;0;2;246;0;1015;97
"61";2014-06-05;480;"2014-06-05 06:00:04";11;0;0;2;246;0;1015;97
"62";2014-06-05;480;"2014-06-05 06:10:02";10;0;0;2;120;0;1016;93
"63";2014-06-05;480;"2014-06-05 06:20:02";10;0;0;2;120;0;1016;93
"64";2014-06-05;480;"2014-06-05 06:30:02";11;0;0;2;246;0;1015;97
"65";2014-06-05;480;"2014-06-05 06:40:02";11;0;0;2;246;0;1015;97
"66";2014-06-05;480;"2014-06-05 04:40:06";11;0;0;2;180;0;1016;87
"67";2014-06-05;480;"2014-06-05 04:50:03";11;0;0;2;180;0;1016;87
"68";2014-06-05;480;"2014-06-05 07:10:03";10;0;0;1;0;0;1016;93
"69";2014-06-05;480;"2014-06-05 07:20:03";10;0;0;1;0;0;1016;93
"70";2014-06-05;480;"2014-06-05 07:30:02";10;0;0;1;0;0;1016;93
"71";2014-06-05;480;"2014-06-05 07:40:15";11;0;0;1;59;0;1018;91
"72";2014-06-05;480;"2014-06-05 07:50:02";11;0;0;1;59;0;1018;91
"73";2014-06-05;480;"2014-06-05 08:00:03";11;0;0;1;59;0;1018;91
"74";2014-06-05;480;"2014-06-05 08:10:03";11;0;0;1;59;0;1018;91
"75";2014-06-05;480;"2014-06-05 18:30:03";21;0;0;1;2;0;1015;71
"76";2014-06-05;480;"2014-06-05 18:50:03";21;0;0;1;22;0;1015;74
"77";2014-06-05;480;"2014-06-05 18:51:00";21;23;6;1;22;0;1015;74
"78";2014-06-05;480;"2014-06-05 18:54:11";21;23;6;1;22;0;1015;74
"79";2014-06-05;480;"2014-06-05 19:00:03";21;0;0;1;22;0;1015;74
"80";2014-06-05;480;"2014-06-05 19:10:06";21;0;0;1;22;0;1015;74
"81";2014-06-05;480;"2014-06-05 19:20:02";20;0;0;1;22;0;1015;74
"82";2014-06-05;480;"2014-06-05 19:30:03";20;0;0;1;22;0;1015;74
"83";2014-06-05;480;"2014-06-05 19:40:05";20;0;0;1;22;0;1015;74
"84";2014-06-05;480;"2014-06-05 20:10:02";20;0;0;1;22;0;1015;74
"85";2014-06-05;480;"2014-06-05 22:20:03";15;0;0;1;0;0;1016;67
"86";2014-06-05;480;"2014-06-05 23:00:09";15;0;0;1;0;0;1016;67
"87";2014-06-05;480;"2014-06-05 23:20:02";15;0;0;1;0;0;1016;67
"88";2014-06-05;480;"2014-06-05 10:30:02";14;0;0;2;286;0;1012;71
"89";2014-06-05;480;"2014-06-05 10:40:02";14;0;0;1;29;0;1018;58
"90";2014-06-05;480;"2014-06-05 10:50:03";14;0;0;1;29;0;1018;58
"91";2014-06-05;480;"2014-06-05 11:00:02";14;0;0;1;29;0;1018;58
"92";2014-06-05;480;"2014-06-05 11:10:02";14;0;0;1;29;0;1018;58
"93";2014-06-05;480;"2014-06-05 11:20:08";16;0;0;2;266;0;1017;53
"94";2014-06-05;480;"2014-06-05 11:30:02";16;0;0;2;266;0;1017;53
"95";2014-06-05;480;"2014-06-05 11:40:02";16;0;0;2;266;0;1017;53
"96";2014-06-05;480;"2014-06-05 11:50:02";16;0;0;2;328;0;1016;99
"97";2014-06-05;480;"2014-06-05 12:00:02";16;0;0;2;266;0;1017;53
"98";2014-06-05;480;"2014-06-05 12:10:02";17;0;0;2;0;0;1016;55
"99";2014-06-05;480;"2014-06-05 12:20:02";17;0;0;2;0;0;1016;55
"100";2014-06-05;480;"2014-06-05 12:30:03";17;0;0;2;0;0;1016;55
"101";2014-06-05;480;"2014-06-05 12:40:02";16;0;0;2;328;0;1016;99
"102";2014-06-05;480;"2014-06-05 00:00:03";12;0;0;1;203;0;1013;96
"103";2014-06-05;480;"2014-06-05 00:10:01";12;0;0;1;203;0;1013;96
"104";2014-06-05;480;"2014-06-05 00:20:02";12;0;0;1;203;0;1013;96
"105";2014-06-05;480;"2014-06-05 00:30:02";12;0;0;1;265;0;1013;96
"106";2014-06-05;480;"2014-06-05 00:40:02";12;0;0;1;265;0;1013;96
"107";2014-06-05;480;"2014-06-05 15:00:03";19;0;0;1;181;0;1015;74
"108";2014-06-05;480;"2014-06-05 15:50:03";20;0;0;1;2;0;1015;71
"109";2014-06-05;480;"2014-06-05 16:00:03";20;0;0;1;2;0;1015;71
"110";2014-06-05;480;"2014-06-05 16:10:02";20;0;0;1;2;0;1015;71
"111";2014-06-05;480;"2014-06-05 16:20:02";20;0;0;1;2;0;1015;71
"112";2014-06-05;480;"2014-06-05 17:50:09";21;0;0;1;2;0;1015;71
"113";2014-06-05;480;"2014-06-05 18:00:02";21;0;0;1;2;0;1015;71
"114";2014-06-05;480;"2014-06-05 18:10:03";21;0;0;1;2;0;1015;71
"115";2014-06-05;480;"2014-06-05 02:50:03";11;0;0;1;72;0;1017;86
"116";2014-06-05;480;"2014-06-05 00:50:03";12;0;0;1;265;0;1013;96
"117";2014-06-05;480;"2014-06-05 02:30:06";11;0;0;1;72;0;1017;86
"118";2014-06-05;480;"2014-06-05 02:40:02";11;0;0;1;72;0;1017;86
"119";2014-06-05;480;"2014-06-05 07:00:04";10;0;0;2;120;0;1016;93
"120";2014-06-05;480;"2014-06-05 03:00:02";11;0;0;1;250;0;1015;94
"121";2014-06-05;480;"2014-06-05 06:50:03";10;0;0;2;120;0;1016;93
"122";2014-06-06;480;"2014-06-06 15:00:03";25;0;0;2;45;0;1016;71
"123";2014-06-06;480;"2014-06-06 15:02:31";25;22;7;2;45;0;1016;71
"124";2014-06-06;480;"2014-06-06 04:54:25";10;32;4;2;135;0;1020;85
"125";2014-06-06;480;"2014-06-06 14:50:02";24;0;0;1;0;0;1017;44
"126";2014-06-06;480;"2014-06-06 04:40:02";10;0;0;1;80;0;1017;88
"127";2014-06-06;480;"2014-06-06 04:50:07";10;0;0;2;135;0;1020;85
"128";2014-06-06;480;"2014-06-06 06:00:03";9;0;0;1;80;0;1017;88
"129";2014-06-06;480;"2014-06-06 15:10:04";25;0;0;2;45;0;1016;71
"130";2014-06-06;480;"2014-06-06 15:20:03";25;0;0;2;45;0;1016;71
"131";2014-06-06;480;"2014-06-06 06:30:03";10;0;0;1;83;0;1018;89
"132";2014-06-06;480;"2014-06-06 06:40:03";10;0;0;1;83;0;1018;89
"133";2014-06-06;480;"2014-06-06 06:10:02";9;0;0;1;80;0;1017;88
"134";2014-06-06;480;"2014-06-06 06:20:03";9;0;0;1;80;0;1017;88
"135";2014-06-06;480;"2014-06-06 07:03:40";10;34;5;1;122;0;1018;87
"136";2014-06-06;480;"2014-06-06 07:10:01";10;0;0;1;83;0;1018;89
"137";2014-06-06;480;"2014-06-06 06:50:01";10;0;0;1;83;0;1018;89
